match_url,home_prob_softmax,prob_min,prob_max,model
https://www.premierleague.com/match/38308,0.214865,0.11948,0.31025,final
https://www.premierleague.com/match/38309,0.3529,0.14763,0.55817,final
https://www.premierleague.com/match/38310,0.203735,0.03999,0.36748,final
https://www.premierleague.com/match/38311,0.26043,0.11979,0.40107,final
https://www.premierleague.com/match/38312,0.286305,0.1494,0.42321,final
https://www.premierleague.com/match/38313,0.2782,0.17132,0.38508,final
https://www.premierleague.com/match/38314,0.15632,0.07054,0.2421,final
https://www.premierleague.com/match/38315,0.26369,0.13951,0.38787,final
https://www.premierleague.com/match/38316,0.2840249999999999,0.15275,0.4153,final
https://www.premierleague.com/match/38317,0.259135,0.11971,0.39856,final
https://www.premierleague.com/match/38318,0.17239,0.08914,0.25564,final
https://www.premierleague.com/match/38319,0.268965,0.1489,0.38903,final
https://www.premierleague.com/match/38320,0.27321,0.11339,0.43303,final
https://www.premierleague.com/match/38321,0.305185,0.14813,0.46224,final
https://www.premierleague.com/match/38322,0.201155,0.08887,0.31344,final
https://www.premierleague.com/match/38323,0.29094,0.14935,0.43253,final
https://www.premierleague.com/match/38324,0.25046,0.138,0.36292,final
https://www.premierleague.com/match/38325,0.410505,0.23603,0.58498,final
https://www.premierleague.com/match/38326,0.6612100000000001,0.42176,0.90066,final
https://www.premierleague.com/match/38327,0.3005,0.15762,0.44338,final
https://www.premierleague.com/match/38328,0.2548399999999999,0.13054,0.37914,final
https://www.premierleague.com/match/38329,0.22619,0.10571,0.34667,final
https://www.premierleague.com/match/38330,0.24004,0.12011,0.35997,final
https://www.premierleague.com/match/38331,0.311615,0.1388,0.48443,final
https://www.premierleague.com/match/38332,0.296185,0.16332,0.42905,final
https://www.premierleague.com/match/38333,0.216335,0.13161,0.30106,final
https://www.premierleague.com/match/38334,0.2240849999999999,0.10427,0.3439,final
https://www.premierleague.com/match/38335,0.214385,0.10456,0.32421,final
https://www.premierleague.com/match/38336,0.32827,0.17365,0.48289,final
https://www.premierleague.com/match/38337,0.227215,0.12319,0.33124,final
https://www.premierleague.com/match/38338,0.312115,0.15263,0.4716,final
https://www.premierleague.com/match/38339,0.15484,0.07258,0.2371,final
https://www.premierleague.com/match/38340,0.26356,0.12463,0.40249,final
https://www.premierleague.com/match/38341,0.279835,0.1308,0.42887,final
https://www.premierleague.com/match/38342,0.276355,0.13028,0.42243,final
https://www.premierleague.com/match/38343,0.348415,0.1508,0.54603,final
https://www.premierleague.com/match/38344,0.203455,0.09864,0.30827,final
https://www.premierleague.com/match/38345,0.323585,0.17378,0.47339,final
https://www.premierleague.com/match/38346,0.2486,0.1236,0.3736,final
https://www.premierleague.com/match/38347,0.2527049999999999,0.13365,0.37176,final
https://www.premierleague.com/match/38348,0.234425,0.11413,0.35472,final
https://www.premierleague.com/match/38349,0.34754,0.19496,0.50012,final
https://www.premierleague.com/match/38350,0.26136,0.09967,0.42305,final
https://www.premierleague.com/match/38351,0.28535,0.11931,0.45139,final
https://www.premierleague.com/match/38352,0.321015,0.16597,0.47606,final
https://www.premierleague.com/match/38353,0.25792,0.11668,0.39916,final
https://www.premierleague.com/match/38354,0.24703,0.11449,0.37957,final
https://www.premierleague.com/match/38355,0.251295,0.13293,0.36966,final
https://www.premierleague.com/match/38356,0.16923,0.0979,0.24056,final
https://www.premierleague.com/match/38357,0.27966,0.15339,0.40593,final
https://www.premierleague.com/match/38358,0.25677,0.12501,0.38853,final
https://www.premierleague.com/match/38359,0.27622,0.12284,0.4296,final
https://www.premierleague.com/match/38360,0.28456,0.14938,0.41974,final
https://www.premierleague.com/match/38361,0.190455,0.08887,0.29204,final
https://www.premierleague.com/match/38362,0.290115,0.12439,0.45584,final
https://www.premierleague.com/match/38363,0.249055,0.13123,0.36688,final
https://www.premierleague.com/match/38364,0.3541999999999999,0.18688,0.52152,final
https://www.premierleague.com/match/38365,0.285235,0.15003,0.42044,final
https://www.premierleague.com/match/38366,0.293925,0.18414,0.40371,final
https://www.premierleague.com/match/38367,0.25061,0.11575,0.38547,final
https://www.premierleague.com/match/38368,0.251105,0.13189,0.37032,final
https://www.premierleague.com/match/38369,0.281255,0.1337,0.42881,final
https://www.premierleague.com/match/38370,0.23216,0.1087,0.35562,final
https://www.premierleague.com/match/38371,0.22832,0.11836,0.33828,final
https://www.premierleague.com/match/38372,0.33586,0.1539,0.51782,final
https://www.premierleague.com/match/38373,0.252615,0.1056,0.39963,final
https://www.premierleague.com/match/38374,0.27729,0.14058,0.414,final
https://www.premierleague.com/match/38375,0.19637,0.0886,0.30414,final
https://www.premierleague.com/match/38376,0.183985,0.09069,0.27728,final
