match_url,new_home_prob_softmax,original_home_prob_softmax,result,desc,delta,,better?,Count,
https://www.premierleague.com/match/12444,0.48472975,0.506093448,1,away_win,-0.021363698,,Yes,,
https://www.premierleague.com/match/12127,0.487070383,0.504401136,1,away_win,-0.017330753,,Yes,,
https://www.premierleague.com/match/12186,0.512900886,0.501653744,2,draw,0.011247142,,Drawed,,
https://www.premierleague.com/match/12442,0.487708727,0.496640051,0,home_win,-0.008931324,,No,,
https://www.premierleague.com/match/12148,0.476444949,0.501483746,1,away_win,-0.025038797,,Yes,,
https://www.premierleague.com/match/12292,0.505848483,0.496213822,0,home_win,0.009634661,,Yes,,
https://www.premierleague.com/match/12493,0.459762203,0.5048311,2,draw,-0.045068896,,Drawed,,
https://www.premierleague.com/match/12393,0.487747453,0.503689933,2,draw,-0.01594248,,Drawed,,
https://www.premierleague.com/match/12180,0.483006548,0.506874567,0,home_win,-0.023868019,,No,,
https://www.premierleague.com/match/12311,0.49451147,0.497117532,0,home_win,-0.002606061,,No,,
https://www.premierleague.com/match/12394,0.406696226,0.53787605,1,away_win,-0.131179824,,Yes,,
https://www.premierleague.com/match/12198,0.463978763,0.504676114,0,home_win,-0.040697351,,No,,
https://www.premierleague.com/match/12382,0.477395419,0.503331201,0,home_win,-0.025935782,,No,,
https://www.premierleague.com/match/12485,0.479177051,0.507549426,0,home_win,-0.028372375,,No,,
https://www.premierleague.com/match/12210,0.635146551,0.455424907,0,home_win,0.179721644,,Yes,,
https://www.premierleague.com/match/12229,0.510838302,0.499495,0,home_win,0.011343302,,Yes,,
https://www.premierleague.com/match/12204,0.508916555,0.50194749,1,away_win,0.006969064,,No,,
https://www.premierleague.com/match/12246,0.512416197,0.498203758,2,draw,0.014212439,,Drawed,,
https://www.premierleague.com/match/12168,0.366723263,0.546243714,1,away_win,-0.179520451,,Yes,,
https://www.premierleague.com/match/12461,0.485658935,0.50986372,0,home_win,-0.024204786,,No,,
https://www.premierleague.com/match/12238,0.491334618,0.495097657,1,away_win,-0.003763039,,Yes,,
https://www.premierleague.com/match/12130,0.512122624,0.494741444,2,draw,0.01738118,,Drawed,,
https://www.premierleague.com/match/12482,0.504816101,0.493862808,2,draw,0.010953293,,Drawed,,
https://www.premierleague.com/match/12283,0.50310371,0.496052582,0,home_win,0.007051128,,Yes,,
https://www.premierleague.com/match/12115,0.525031556,0.496218822,1,away_win,0.028812734,,No,,
https://www.premierleague.com/match/12260,0.469642386,0.502708724,1,away_win,-0.033066338,,Yes,,
https://www.premierleague.com/match/12277,0.458012863,0.517947286,1,away_win,-0.059934423,,Yes,,
https://www.premierleague.com/match/12218,0.522123046,0.492268116,2,draw,0.02985493,,Drawed,,
https://www.premierleague.com/match/12171,0.51421242,0.500919999,2,draw,0.013292421,,Drawed,,
https://www.premierleague.com/match/12240,0.469013511,0.505887228,2,draw,-0.036873717,,Drawed,,
https://www.premierleague.com/match/12142,0.51696099,0.491278385,2,draw,0.025682605,,Drawed,,
https://www.premierleague.com/match/12173,0.52066572,0.493760324,1,away_win,0.026905396,,No,,
https://www.premierleague.com/match/12380,0.634774536,0.468382245,0,home_win,0.166392291,,Yes,,
https://www.premierleague.com/match/12193,0.513474237,0.50039,2,draw,0.013084237,,Drawed,,
https://www.premierleague.com/match/12392,0.634859151,0.456440704,0,home_win,0.178418447,,Yes,,
https://www.premierleague.com/match/12209,0.491284633,0.505453534,1,away_win,-0.014168901,,Yes,,
https://www.premierleague.com/match/12335,0.561690327,0.494255253,1,away_win,0.067435074,,No,,
https://www.premierleague.com/match/12330,0.507630658,0.502408731,0,home_win,0.005221926,,Yes,,
https://www.premierleague.com/match/12213,0.513739041,0.502524979,2,draw,0.011214062,,Drawed,,
https://www.premierleague.com/match/12273,0.476658229,0.506984546,1,away_win,-0.030326317,,Yes,,
https://www.premierleague.com/match/12165,0.523520129,0.498303757,1,away_win,0.025216372,,No,,
https://www.premierleague.com/match/12159,0.501539995,0.498525004,0,home_win,0.003014991,,Yes,,
https://www.premierleague.com/match/12472,0.524434271,0.494012786,2,draw,0.030421485,,Drawed,,
https://www.premierleague.com/match/12118,0.524547748,0.501784992,0,home_win,0.022762756,,Yes,,
https://www.premierleague.com/match/12400,0.47416054,0.494646455,1,away_win,-0.020485914,,Yes,,
https://www.premierleague.com/match/12296,0.485795074,0.501223748,2,draw,-0.015428674,,Drawed,,
https://www.premierleague.com/match/12378,0.480454964,0.50042875,2,draw,-0.019973786,,Drawed,,
https://www.premierleague.com/match/12410,0.470106943,0.502203736,1,away_win,-0.032096793,,Yes,,
https://www.premierleague.com/match/12261,0.489658975,0.501786242,0,home_win,-0.012127268,,No,,
https://www.premierleague.com/match/12361,0.503403697,0.49937,2,draw,0.004033697,,Drawed,,
https://www.premierleague.com/match/12234,0.475454746,0.497813764,1,away_win,-0.022359018,,Yes,,
https://www.premierleague.com/match/12369,0.41642296,0.526040168,2,draw,-0.109617208,,Drawed,,
https://www.premierleague.com/match/12359,0.409925104,0.532458041,0,home_win,-0.122532936,,No,,
https://www.premierleague.com/match/12360,0.492301858,0.503334951,1,away_win,-0.011033092,,Yes,,
https://www.premierleague.com/match/12358,0.54700454,0.490383686,0,home_win,0.056620854,,Yes,,
https://www.premierleague.com/match/12449,0.538622904,0.491173417,2,draw,0.047449487,,Drawed,,
https://www.premierleague.com/match/12135,0.501827492,0.498568754,0,home_win,0.003258738,,Yes,,
https://www.premierleague.com/match/12366,0.457012638,0.512235057,0,home_win,-0.055222419,,No,,
https://www.premierleague.com/match/12267,0.473851378,0.501139998,0,home_win,-0.02728862,,No,,
https://www.premierleague.com/match/12235,0.480447476,0.505734749,0,home_win,-0.025287273,,No,,
https://www.premierleague.com/match/12375,0.50012125,0.5069633,0,home_win,-0.00684205,,No,,
https://www.premierleague.com/match/12454,0.478900039,0.49994625,1,away_win,-0.021046211,,Yes,,
https://www.premierleague.com/match/12282,0.403911103,0.534196531,2,draw,-0.130285427,,Drawed,,
https://www.premierleague.com/match/12386,0.544451084,0.488458301,1,away_win,0.055992783,,No,,
https://www.premierleague.com/match/12264,0.504321142,0.499127501,2,draw,0.005193642,,Drawed,,
https://www.premierleague.com/match/12450,0.485209316,0.499211251,0,home_win,-0.014001934,,No,,
https://www.premierleague.com/match/12451,0.496376313,0.507020789,0,home_win,-0.010644475,,No,,
