,match_url,new_home_prob_softmax,original_home_prob_softmax,result,desc,delta,model,season
52,https://www.premierleague.com/match/12310,0.21696,0.4918194800476732,1,away_win,-0.2748594800476732,final,1516
53,https://www.premierleague.com/match/12374,0.245225,0.4988487520344486,1,away_win,-0.2536237520344486,final,1516
54,https://www.premierleague.com/match/12230,0.25093,0.4978362635069324,1,away_win,-0.2469062635069324,final,1516
55,https://www.premierleague.com/match/12447,0.500745,0.5351817649595689,2,draw,-0.0344367649595689,final,1516
56,https://www.premierleague.com/match/12484,0.284945,0.4973575246024791,0,home_win,-0.2124125246024791,final,1516
57,https://www.premierleague.com/match/12478,0.2813299999999999,0.5027537221575789,0,home_win,-0.2214237221575789,final,1516
58,https://www.premierleague.com/match/12444,0.303405,0.5060934483058886,1,away_win,-0.2026884483058886,final,1516
59,https://www.premierleague.com/match/12127,0.307575,0.504401136328029,1,away_win,-0.1968261363280289,final,1516
60,https://www.premierleague.com/match/12186,0.255565,0.501653743969596,2,draw,-0.246088743969596,final,1516
61,https://www.premierleague.com/match/12442,0.30905,0.4966400505764944,0,home_win,-0.1875900505764944,final,1516
62,https://www.premierleague.com/match/12148,0.32684,0.5014837456446867,1,away_win,-0.1746437456446866,final,1516
63,https://www.premierleague.com/match/12292,0.24412,0.496213822369677,0,home_win,-0.252093822369677,final,1516
64,https://www.premierleague.com/match/12493,0.3623599999999999,0.5048310996508241,2,draw,-0.1424710996508241,final,1516
65,https://www.premierleague.com/match/12393,0.276705,0.5036899330102474,2,draw,-0.2269849330102474,final,1516
66,https://www.premierleague.com/match/12180,0.3116299999999999,0.5068745667645342,0,home_win,-0.1952445667645343,final,1516
67,https://www.premierleague.com/match/12311,0.28859,0.4971175319330875,0,home_win,-0.2085275319330874,final,1516
68,https://www.premierleague.com/match/12394,0.569915,0.5378760504619363,1,away_win,0.0320389495380636,final,1516
69,https://www.premierleague.com/match/12198,0.342305,0.504676113662067,0,home_win,-0.1623711136620669,final,1516
70,https://www.premierleague.com/match/12382,0.30282,0.5033312007106938,0,home_win,-0.2005112007106938,final,1516
71,https://www.premierleague.com/match/12485,0.32026,0.5075494262271637,0,home_win,-0.1872894262271637,final,1516
72,https://www.premierleague.com/match/12210,0.113715,0.4554249069994476,0,home_win,-0.3417099069994476,final,1516
73,https://www.premierleague.com/match/12229,0.244485,0.4994950001717168,0,home_win,-0.2550100001717167,final,1516
74,https://www.premierleague.com/match/12204,0.258495,0.5019474901515361,1,away_win,-0.243452490151536,final,1516
75,https://www.premierleague.com/match/12246,0.25776,0.4982037577274613,2,draw,-0.2404437577274613,final,1516
76,https://www.premierleague.com/match/12168,0.65839,0.5462437140333445,1,away_win,0.1121462859666555,final,1516
77,https://www.premierleague.com/match/12461,0.306845,0.5098637201402327,0,home_win,-0.2030187201402327,final,1516
78,https://www.premierleague.com/match/12238,0.309895,0.4950976570995146,1,away_win,-0.1852026570995146,final,1516
79,https://www.premierleague.com/match/12130,0.262605,0.4947414438952169,2,draw,-0.2321364438952169,final,1516
80,https://www.premierleague.com/match/12482,0.2498449999999999,0.4938628082386385,2,draw,-0.2440178082386385,final,1516
81,https://www.premierleague.com/match/12283,0.279635,0.4960525820151955,0,home_win,-0.2164175820151954,final,1516
82,https://www.premierleague.com/match/12115,0.227405,0.4962188220833526,1,away_win,-0.2688138220833526,final,1516
83,https://www.premierleague.com/match/12260,0.34707,0.5027087235003335,1,away_win,-0.1556387235003334,final,1516
84,https://www.premierleague.com/match/12277,0.36672,0.517947286153186,1,away_win,-0.1512272861531859,final,1516
85,https://www.premierleague.com/match/12218,0.240485,0.492268116391977,2,draw,-0.251783116391977,final,1516
86,https://www.premierleague.com/match/12171,0.246245,0.5009199989617508,2,draw,-0.2546749989617508,final,1516
87,https://www.premierleague.com/match/12240,0.34748,0.5058872279132384,2,draw,-0.1584072279132383,final,1516
88,https://www.premierleague.com/match/12142,0.24752,0.491278384726034,2,draw,-0.243758384726034,final,1516
89,https://www.premierleague.com/match/12173,0.219545,0.4937603239406504,1,away_win,-0.2742153239406504,final,1516
90,https://www.premierleague.com/match/12380,0.120725,0.4683822450211011,0,home_win,-0.347657245021101,final,1516
91,https://www.premierleague.com/match/12193,0.24247,0.5003899999209079,2,draw,-0.2579199999209079,final,1516
92,https://www.premierleague.com/match/12392,0.1106149999999999,0.4564407044836922,0,home_win,-0.3458257044836922,final,1516
93,https://www.premierleague.com/match/12209,0.29091,0.5054535337262814,1,away_win,-0.2145435337262814,final,1516
94,https://www.premierleague.com/match/12335,0.16883,0.4942552528051413,1,away_win,-0.3254252528051413,final,1516
95,https://www.premierleague.com/match/12330,0.2735499999999999,0.5024087313658371,0,home_win,-0.2288587313658371,final,1516
96,https://www.premierleague.com/match/12213,0.215225,0.5025249785356148,2,draw,-0.2872999785356148,final,1516
97,https://www.premierleague.com/match/12273,0.31534,0.5069845456358408,1,away_win,-0.1916445456358408,final,1516
98,https://www.premierleague.com/match/12165,0.239035,0.4983037565073822,1,away_win,-0.2592687565073822,final,1516
99,https://www.premierleague.com/match/12159,0.2849049999999999,0.4985250042787144,0,home_win,-0.2136200042787144,final,1516
