match_id,away_prob,away_prob_min,away_prob_max,model
12115,0.612515,0.42008,0.80495,of_pk
12116,0.436165,0.25351,0.61882,of_pk
12117,0.464975,0.26323,0.66672,of_pk
12118,0.6067849999999999,0.4004,0.81317,of_pk
12119,0.596775,0.41637,0.77718,of_pk
12120,0.5577,0.35635,0.75905,of_pk
12121,0.29023,0.15165,0.42881,of_pk
12122,0.50124,0.3124,0.69008,of_pk
12123,0.5253950000000001,0.32902,0.72177,of_pk
12124,0.5913200000000001,0.41493,0.76771,of_pk
12125,0.49929,0.31737,0.68121,of_pk
12126,0.62193,0.43052,0.81334,of_pk
12127,0.501625,0.29045,0.7128,of_pk
12128,0.559155,0.36233,0.75598,of_pk
12129,0.45871,0.28093,0.63649,of_pk
12130,0.576735,0.38026,0.77321,of_pk
12131,0.68582,0.49737,0.87427,of_pk
12132,0.590365,0.40648,0.77425,of_pk
12133,0.56568,0.39157,0.73979,of_pk
12134,0.48619,0.27318,0.6992,of_pk
12135,0.54287,0.3347,0.75104,of_pk
12136,0.6936599999999999,0.52198,0.86534,of_pk
12137,0.5267299999999999,0.3298,0.72366,of_pk
12138,0.615585,0.41681,0.81436,of_pk
12139,0.55205,0.3111,0.793,of_pk
12140,0.5274949999999999,0.29993,0.75506,of_pk
12141,0.558625,0.3583,0.75895,of_pk
12142,0.5838,0.37306,0.79454,of_pk
12143,0.6269750000000001,0.45553,0.79842,of_pk
12144,0.5578000000000001,0.38139,0.73421,of_pk
12145,0.53032,0.35002,0.71062,of_pk
12146,0.51545,0.30463,0.72627,of_pk
12147,0.45791000000000004,0.26773,0.64809,of_pk
12148,0.46928000000000003,0.27268,0.66588,of_pk
12149,0.49797499999999995,0.3172,0.67875,of_pk
12150,0.572255,0.39082,0.75369,of_pk
12151,0.517875,0.31542,0.72033,of_pk
12152,0.466955,0.29219,0.64172,of_pk
12153,0.49248500000000006,0.29409,0.69088,of_pk
12154,0.56277,0.36957,0.75597,of_pk
12155,0.518405,0.33671,0.7001,of_pk
12156,0.593415,0.39678,0.79005,of_pk
